Emp_Code,Name,Email,Primary Skill,Secondary Skill,Location,Designation,Bench Manager
156,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
157,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
158,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
159,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
160,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
161,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
162,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
163,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
164,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
165,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
166,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
167,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
168,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
169,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
170,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
171,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
172,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
173,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
174,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
175,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
176,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
177,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
178,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
179,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
180,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
181,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
182,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
183,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
184,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
185,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
186,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
187,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
188,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
189,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
190,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
191,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
192,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
193,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
194,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
195,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
196,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
197,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
198,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
199,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
200,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
201,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
202,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
203,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
204,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
205,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
206,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
207,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
208,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
209,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
210,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
211,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
212,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
213,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
214,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
215,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
216,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
217,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
218,Sima,simathapa111@gmail.com,Java, js,Mumbai,Consultant,Maruthi
219,Gita,geeta12@outlook.com,Scala, Python,Pune,Consultant,Maruthi
